Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: chrf (pipeline: vanilla)
Standard Metric: xcomet

Results:
  Pearson correlation: 0.2772
  P-value: 7.1113e-19
  Number of samples: 987

Common keys (987):
  311. Wikipedia_handpicked_5:1865_alteration (AskQE: 78.0733, Standard: 0.7210)
  312. Wikipedia_handpicked_5:1865_synonym (AskQE: 35.7238, Standard: 0.7680)
  313. Wikipedia_handpicked_5:1866_alteration (AskQE: 48.7096, Standard: 0.6110)
  314. Wikipedia_handpicked_5:1866_synonym (AskQE: 91.5147, Standard: 0.7320)
  315. Wikipedia_handpicked_5:1867_alteration (AskQE: 41.7609, Standard: 0.6510)
  316. Wikipedia_handpicked_5:1867_synonym (AskQE: 40.7817, Standard: 0.7060)
  317. Wikipedia_handpicked_5:1869_alteration (AskQE: 56.3363, Standard: 0.7930)
  318. Wikipedia_handpicked_5:1869_synonym (AskQE: 60.5815, Standard: 0.8000)
  319. Wikipedia_handpicked_5:1870_alteration (AskQE: 73.1086, Standard: 0.7650)
  320. Wikipedia_handpicked_5:1870_synonym (AskQE: 75.3356, Standard: 0.8380)
  321. Wikipedia_handpicked_5:1871_alteration (AskQE: 38.9284, Standard: 0.7990)
  322. Wikipedia_handpicked_5:1871_synonym (AskQE: 36.8292, Standard: 0.7780)
  323. Wikipedia_handpicked_5:1873_alteration (AskQE: 47.2785, Standard: 0.7910)
  324. Wikipedia_handpicked_5:1873_synonym (AskQE: 82.5510, Standard: 0.8150)
  325. Wikipedia_handpicked_5:1874_alteration (AskQE: 69.4101, Standard: 0.7500)
  326. Wikipedia_handpicked_5:1874_synonym (AskQE: 67.5978, Standard: 0.7720)
  327. Wikipedia_handpicked_5:1875_alteration (AskQE: 55.9968, Standard: 0.7810)
  328. Wikipedia_handpicked_5:1875_synonym (AskQE: 52.2032, Standard: 0.7500)
  329. Wikipedia_handpicked_5:1877_alteration (AskQE: 31.6721, Standard: 0.6860)
  330. Wikipedia_handpicked_5:1877_synonym (AskQE: 63.3606, Standard: 0.7530)
  331. Wikipedia_handpicked_5:1879_alteration (AskQE: 39.4181, Standard: 0.7680)
  332. Wikipedia_handpicked_5:1879_synonym (AskQE: 100.0000, Standard: 0.8150)
  333. Wikipedia_handpicked_5:1880_alteration (AskQE: 61.6917, Standard: 0.8350)
  334. Wikipedia_handpicked_5:1880_synonym (AskQE: 97.5649, Standard: 0.8350)
  335. Wikipedia_handpicked_5:1881_alteration (AskQE: 66.1883, Standard: 0.7050)
  336. Wikipedia_handpicked_5:1881_synonym (AskQE: 75.5507, Standard: 0.7300)
  337. Wikipedia_handpicked_5:1883_alteration (AskQE: 63.0622, Standard: 0.7700)
  338. Wikipedia_handpicked_5:1883_synonym (AskQE: 68.1063, Standard: 0.7770)
  339. Wikipedia_handpicked_5:1886_alteration (AskQE: 62.5409, Standard: 0.6590)
  340. Wikipedia_handpicked_5:1886_synonym (AskQE: 83.3618, Standard: 0.6840)
  341. Wikipedia_handpicked_5:1887_alteration (AskQE: 39.0617, Standard: 0.6580)
  342. Wikipedia_handpicked_5:1887_synonym (AskQE: 57.3936, Standard: 0.6430)
  343. Wikipedia_handpicked_5:1889_alteration (AskQE: 4.2055, Standard: 0.7300)
  344. Wikipedia_handpicked_5:1889_synonym (AskQE: 60.1444, Standard: 0.8640)
  345. Wikipedia_handpicked_5:1890_alteration (AskQE: 61.7767, Standard: 0.6790)
  346. Wikipedia_handpicked_5:1890_synonym (AskQE: 88.6072, Standard: 0.7910)
