Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: bleu (pipeline: vanilla)
Standard Metric: xcomet

Results:
  Pearson correlation: 0.2064
  P-value: 3.2979e-25
  Number of samples: 2473

Common keys (2473):
  307. PubMed_10:903_expansion_impact (AskQE: 38.2948, Standard: 0.7070)
  308. PubMed_10:903_expansion_noimpact (AskQE: 41.9739, Standard: 0.7090)
  309. PubMed_10:903_spelling (AskQE: 43.4658, Standard: 0.6480)
  310. PubMed_10:903_synonym (AskQE: 47.3044, Standard: 0.7160)
  311. PubMed_10:905_alteration (AskQE: 0.0000, Standard: 0.6040)
  312. PubMed_10:905_expansion_impact (AskQE: 100.0000, Standard: 0.6400)
  313. PubMed_10:905_expansion_noimpact (AskQE: 50.0000, Standard: 0.6510)
  314. PubMed_10:905_spelling (AskQE: 50.0000, Standard: 0.5980)
  315. PubMed_10:905_synonym (AskQE: 50.0000, Standard: 0.6210)
  316. PubMed_10:906_alteration (AskQE: 18.1979, Standard: 0.6410)
  317. PubMed_10:906_expansion_impact (AskQE: 16.7407, Standard: 0.6100)
  318. PubMed_10:906_expansion_noimpact (AskQE: 25.6417, Standard: 0.6350)
  319. PubMed_10:906_spelling (AskQE: 25.6417, Standard: 0.6390)
  320. PubMed_10:906_synonym (AskQE: 25.6417, Standard: 0.6290)
  321. PubMed_10:907_alteration (AskQE: 27.7891, Standard: 0.8200)
  322. PubMed_10:907_expansion_impact (AskQE: 25.1899, Standard: 0.7570)
  323. PubMed_10:907_expansion_noimpact (AskQE: 100.0000, Standard: 0.8300)
  324. PubMed_10:907_spelling (AskQE: 100.0000, Standard: 0.8470)
  325. PubMed_10:907_synonym (AskQE: 100.0000, Standard: 0.8250)
  326. PubMed_10:908_alteration (AskQE: 33.3333, Standard: 0.6880)
  327. PubMed_10:908_expansion_impact (AskQE: 66.6667, Standard: 0.7910)
  328. PubMed_10:908_expansion_noimpact (AskQE: 66.6667, Standard: 0.7600)
  329. PubMed_10:908_spelling (AskQE: 22.0778, Standard: 0.6050)
  330. PubMed_10:908_synonym (AskQE: 50.0000, Standard: 0.7800)
  331. PubMed_10:909_alteration (AskQE: 30.0245, Standard: 0.6550)
  332. PubMed_10:909_expansion_impact (AskQE: 42.9733, Standard: 0.7620)
  333. PubMed_10:909_expansion_noimpact (AskQE: 66.9874, Standard: 0.7790)
  334. PubMed_10:909_spelling (AskQE: 71.0851, Standard: 0.7370)
  335. PubMed_10:909_synonym (AskQE: 84.1389, Standard: 0.7860)
  336. PubMed_10:911_alteration (AskQE: 53.0640, Standard: 0.6120)
  337. PubMed_10:911_expansion_impact (AskQE: 7.6188, Standard: 0.6390)
  338. PubMed_10:911_expansion_noimpact (AskQE: 8.1650, Standard: 0.6570)
  339. PubMed_10:911_spelling (AskQE: 12.1584, Standard: 0.6220)
  340. PubMed_10:911_synonym (AskQE: 8.4997, Standard: 0.6600)
  341. PubMed_10:913_alteration (AskQE: 54.8475, Standard: 0.7740)
