Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: sbert (pipeline: vanilla)
Standard Metric: xcomet

Results:
  Pearson correlation: 0.2746
  P-value: 1.5641e-18
  Number of samples: 987

Common keys (987):
  92. PubMed_10:873_synonym (AskQE: 0.9856, Standard: 0.7210)
  93. PubMed_10:875_alteration (AskQE: 0.7235, Standard: 0.7870)
  94. PubMed_10:875_synonym (AskQE: 0.7254, Standard: 0.8320)
  95. PubMed_10:879_alteration (AskQE: 0.9800, Standard: 0.6180)
  96. PubMed_10:879_synonym (AskQE: 0.9413, Standard: 0.6580)
  97. PubMed_10:880_alteration (AskQE: 0.7037, Standard: 0.6630)
  98. PubMed_10:880_synonym (AskQE: 0.8689, Standard: 0.7500)
  99. PubMed_10:882_alteration (AskQE: 0.8221, Standard: 0.6480)
  100. PubMed_10:882_synonym (AskQE: 0.9083, Standard: 0.7850)
  101. PubMed_10:883_alteration (AskQE: 0.2109, Standard: 0.6580)
  102. PubMed_10:883_synonym (AskQE: 0.4982, Standard: 0.6940)
  103. PubMed_10:886_alteration (AskQE: 0.5257, Standard: 0.7190)
  104. PubMed_10:886_synonym (AskQE: 0.8713, Standard: 0.7170)
  105. PubMed_10:887_alteration (AskQE: 0.6478, Standard: 0.6720)
  106. PubMed_10:887_synonym (AskQE: 0.6334, Standard: 0.6770)
  107. PubMed_10:888_alteration (AskQE: 0.6505, Standard: 0.6380)
  108. PubMed_10:888_synonym (AskQE: 0.7534, Standard: 0.6030)
  109. PubMed_10:889_alteration (AskQE: 0.8070, Standard: 0.6910)
  110. PubMed_10:889_synonym (AskQE: 0.9517, Standard: 0.7420)
  111. PubMed_10:890_alteration (AskQE: 0.9584, Standard: 0.7270)
  112. PubMed_10:890_synonym (AskQE: 0.9821, Standard: 0.7910)
  113. PubMed_10:892_alteration (AskQE: 0.8847, Standard: 0.7750)
  114. PubMed_10:892_synonym (AskQE: 0.9251, Standard: 0.7740)
  115. PubMed_10:894_alteration (AskQE: 0.5772, Standard: 0.6860)
  116. PubMed_10:894_synonym (AskQE: 0.6880, Standard: 0.7260)
  117. PubMed_10:899_alteration (AskQE: 0.8667, Standard: 0.7590)
  118. PubMed_10:899_synonym (AskQE: 0.9171, Standard: 0.7840)
  119. PubMed_10:900_alteration (AskQE: 0.1628, Standard: 0.5850)
  120. PubMed_10:900_synonym (AskQE: 0.8364, Standard: 0.8690)
  121. PubMed_10:901_alteration (AskQE: 0.8014, Standard: 0.6400)
  122. PubMed_10:901_synonym (AskQE: 0.8806, Standard: 0.6700)
  123. PubMed_10:903_alteration (AskQE: 0.9105, Standard: 0.6550)
  124. PubMed_10:903_synonym (AskQE: 0.8635, Standard: 0.7160)
