Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: sbert (pipeline: vanilla)
Standard Metric: bt_score

Results:
  Pearson correlation: 0.4133
  P-value: 5.2814e-42
  Number of samples: 987

Common keys (987):
  303. Wikinews_5:1151_alteration (AskQE: 0.8313, Standard: 0.8929)
  304. Wikinews_5:1151_synonym (AskQE: 0.9433, Standard: 0.9504)
  305. Wikipedia_handpicked_5:1860_alteration (AskQE: 0.7781, Standard: 0.8856)
  306. Wikipedia_handpicked_5:1860_synonym (AskQE: 0.4241, Standard: 0.9566)
  307. Wikipedia_handpicked_5:1861_alteration (AskQE: 0.9817, Standard: 0.8763)
  308. Wikipedia_handpicked_5:1861_synonym (AskQE: 0.9067, Standard: 0.9497)
  309. Wikipedia_handpicked_5:1864_alteration (AskQE: 0.6418, Standard: 0.9288)
  310. Wikipedia_handpicked_5:1864_synonym (AskQE: 0.8954, Standard: 0.9601)
  311. Wikipedia_handpicked_5:1865_alteration (AskQE: 0.9405, Standard: 0.9206)
  312. Wikipedia_handpicked_5:1865_synonym (AskQE: 0.5992, Standard: 0.9165)
  313. Wikipedia_handpicked_5:1866_alteration (AskQE: 0.5845, Standard: 0.8996)
  314. Wikipedia_handpicked_5:1866_synonym (AskQE: 0.9970, Standard: 0.9732)
  315. Wikipedia_handpicked_5:1867_alteration (AskQE: 0.6388, Standard: 0.8800)
  316. Wikipedia_handpicked_5:1867_synonym (AskQE: 0.6275, Standard: 0.9443)
  317. Wikipedia_handpicked_5:1869_alteration (AskQE: 0.7208, Standard: 0.8674)
  318. Wikipedia_handpicked_5:1869_synonym (AskQE: 0.9331, Standard: 0.8985)
  319. Wikipedia_handpicked_5:1870_alteration (AskQE: 0.8138, Standard: 0.9200)
  320. Wikipedia_handpicked_5:1870_synonym (AskQE: 0.9011, Standard: 0.9654)
  321. Wikipedia_handpicked_5:1871_alteration (AskQE: 0.4813, Standard: 0.8641)
  322. Wikipedia_handpicked_5:1871_synonym (AskQE: 0.7186, Standard: 0.9519)
  323. Wikipedia_handpicked_5:1873_alteration (AskQE: 0.7842, Standard: 0.9342)
  324. Wikipedia_handpicked_5:1873_synonym (AskQE: 0.9880, Standard: 0.9677)
  325. Wikipedia_handpicked_5:1874_alteration (AskQE: 0.9021, Standard: 0.9053)
  326. Wikipedia_handpicked_5:1874_synonym (AskQE: 0.8882, Standard: 0.9202)
  327. Wikipedia_handpicked_5:1875_alteration (AskQE: 0.8432, Standard: 0.8961)
  328. Wikipedia_handpicked_5:1875_synonym (AskQE: 0.8371, Standard: 0.8654)
  329. Wikipedia_handpicked_5:1877_alteration (AskQE: 0.2923, Standard: 0.8719)
  330. Wikipedia_handpicked_5:1877_synonym (AskQE: 0.6922, Standard: 0.9012)
  331. Wikipedia_handpicked_5:1879_alteration (AskQE: 0.5132, Standard: 0.9283)
  332. Wikipedia_handpicked_5:1879_synonym (AskQE: 1.0000, Standard: 1.0000)
  333. Wikipedia_handpicked_5:1880_alteration (AskQE: 0.8206, Standard: 0.9265)
  334. Wikipedia_handpicked_5:1880_synonym (AskQE: 0.9993, Standard: 0.9636)
  335. Wikipedia_handpicked_5:1881_alteration (AskQE: 0.9152, Standard: 0.8803)
  336. Wikipedia_handpicked_5:1881_synonym (AskQE: 0.9769, Standard: 0.9316)
