Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: em (pipeline: vanilla)
Standard Metric: bt_score

Results:
  Pearson correlation: 0.1659
  P-value: 1.0146e-16
  Number of samples: 2473

Common keys (2473):
  196. PubMed_10:856_alteration (AskQE: 0.4000, Standard: 0.9081)
  197. PubMed_10:856_expansion_impact (AskQE: 0.4000, Standard: 0.9325)
  198. PubMed_10:856_expansion_noimpact (AskQE: 0.4000, Standard: 0.9467)
  199. PubMed_10:856_spelling (AskQE: 0.6000, Standard: 0.9512)
  200. PubMed_10:856_synonym (AskQE: 0.4000, Standard: 0.9495)
  201. PubMed_10:858_alteration (AskQE: 0.0000, Standard: 0.9170)
  202. PubMed_10:858_expansion_impact (AskQE: 0.2000, Standard: 0.9306)
  203. PubMed_10:858_expansion_noimpact (AskQE: 0.2000, Standard: 0.9624)
  204. PubMed_10:858_spelling (AskQE: 0.4000, Standard: 0.6426)
  205. PubMed_10:858_synonym (AskQE: 0.2000, Standard: 0.9612)
  206. PubMed_10:860_alteration (AskQE: 0.0000, Standard: 0.9213)
  207. PubMed_10:860_expansion_impact (AskQE: 0.4000, Standard: 0.9327)
  208. PubMed_10:860_expansion_noimpact (AskQE: 0.4000, Standard: 0.9497)
  209. PubMed_10:860_spelling (AskQE: 0.4000, Standard: 0.9502)
  210. PubMed_10:860_synonym (AskQE: 0.4000, Standard: 0.9502)
  211. PubMed_10:862_alteration (AskQE: 0.6667, Standard: 0.8957)
  212. PubMed_10:862_expansion_impact (AskQE: 0.0000, Standard: 0.9116)
  213. PubMed_10:862_expansion_noimpact (AskQE: 0.6667, Standard: 0.9192)
  214. PubMed_10:862_spelling (AskQE: 1.0000, Standard: 0.9272)
  215. PubMed_10:862_synonym (AskQE: 1.0000, Standard: 0.9272)
  216. PubMed_10:864_alteration (AskQE: 0.5000, Standard: 0.8302)
  217. PubMed_10:864_expansion_impact (AskQE: 0.0000, Standard: 0.8194)
  218. PubMed_10:864_expansion_noimpact (AskQE: 0.5000, Standard: 0.8876)
  219. PubMed_10:864_spelling (AskQE: 0.5000, Standard: 0.8857)
  220. PubMed_10:864_synonym (AskQE: 0.5000, Standard: 0.8675)
  221. PubMed_10:868_alteration (AskQE: 0.0000, Standard: 0.8757)
  222. PubMed_10:868_expansion_impact (AskQE: 0.0000, Standard: 0.9193)
  223. PubMed_10:868_expansion_noimpact (AskQE: 0.0000, Standard: 0.9013)
  224. PubMed_10:868_spelling (AskQE: 0.0000, Standard: 0.9013)
  225. PubMed_10:868_synonym (AskQE: 0.0000, Standard: 0.8924)
  226. PubMed_10:873_alteration (AskQE: 0.4000, Standard: 0.9143)
  227. PubMed_10:873_expansion_impact (AskQE: 0.2000, Standard: 0.8950)
  228. PubMed_10:873_expansion_noimpact (AskQE: 0.0000, Standard: 0.9367)
  229. PubMed_10:873_spelling (AskQE: 0.6000, Standard: 0.6593)
  230. PubMed_10:873_synonym (AskQE: 0.2000, Standard: 0.9380)
  231. PubMed_10:875_alteration (AskQE: 0.0000, Standard: 0.9044)
  232. PubMed_10:875_expansion_impact (AskQE: 0.0000, Standard: 0.8968)
  233. PubMed_10:875_expansion_noimpact (AskQE: 0.0000, Standard: 0.9164)
  234. PubMed_10:875_spelling (AskQE: 0.0000, Standard: 0.9316)
  235. PubMed_10:875_synonym (AskQE: 0.0000, Standard: 0.9316)
  236. PubMed_10:879_alteration (AskQE: 0.0000, Standard: 0.9459)
  237. PubMed_10:879_expansion_impact (AskQE: 0.0000, Standard: 0.9383)
  238. PubMed_10:879_expansion_noimpact (AskQE: 0.0000, Standard: 0.9450)
  239. PubMed_10:879_spelling (AskQE: 0.0000, Standard: 0.4113)
  240. PubMed_10:879_synonym (AskQE: 0.0000, Standard: 0.9501)
  241. PubMed_10:880_alteration (AskQE: 0.2000, Standard: 0.8979)
  242. PubMed_10:880_expansion_impact (AskQE: 0.0000, Standard: 0.9093)
  243. PubMed_10:880_expansion_noimpact (AskQE: 0.4000, Standard: 0.9119)
  244. PubMed_10:880_spelling (AskQE: 0.4000, Standard: 0.9167)
  245. PubMed_10:880_synonym (AskQE: 0.4000, Standard: 0.9203)
  246. PubMed_10:882_alteration (AskQE: 0.4000, Standard: 0.8693)
  247. PubMed_10:882_expansion_impact (AskQE: 0.4000, Standard: 0.9242)
  248. PubMed_10:882_expansion_noimpact (AskQE: 0.2000, Standard: 0.8981)
  249. PubMed_10:882_spelling (AskQE: 1.0000, Standard: 0.9483)
  250. PubMed_10:882_synonym (AskQE: 0.2000, Standard: 0.9356)
  251. PubMed_10:883_alteration (AskQE: 0.0000, Standard: 0.8513)
  252. PubMed_10:883_expansion_impact (AskQE: 0.0000, Standard: 0.9065)
  253. PubMed_10:883_expansion_noimpact (AskQE: 0.0000, Standard: 0.9357)
  254. PubMed_10:883_spelling (AskQE: 0.0000, Standard: 0.9295)
  255. PubMed_10:883_synonym (AskQE: 0.0000, Standard: 0.9236)
  256. PubMed_10:886_alteration (AskQE: 0.0000, Standard: 0.9325)
  257. PubMed_10:886_expansion_impact (AskQE: 0.2500, Standard: 0.9041)
  258. PubMed_10:886_expansion_noimpact (AskQE: 0.2500, Standard: 0.9293)
  259. PubMed_10:886_spelling (AskQE: 0.2500, Standard: 0.9259)
