Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: chrf (pipeline: vanilla)
Standard Metric: bt_score

Results:
  Pearson correlation: 0.3186
  P-value: 1.8872e-59
  Number of samples: 2473

Common keys (2473):
  224. PubMed_10:868_spelling (AskQE: 29.2182, Standard: 0.9013)
  225. PubMed_10:868_synonym (AskQE: 16.9154, Standard: 0.8924)
  226. PubMed_10:873_alteration (AskQE: 91.8194, Standard: 0.9143)
  227. PubMed_10:873_expansion_impact (AskQE: 89.0737, Standard: 0.8950)
  228. PubMed_10:873_expansion_noimpact (AskQE: 85.2712, Standard: 0.9367)
  229. PubMed_10:873_spelling (AskQE: 94.5252, Standard: 0.6593)
  230. PubMed_10:873_synonym (AskQE: 89.9621, Standard: 0.9380)
  231. PubMed_10:875_alteration (AskQE: 47.9373, Standard: 0.9044)
  232. PubMed_10:875_expansion_impact (AskQE: 43.9541, Standard: 0.8968)
  233. PubMed_10:875_expansion_noimpact (AskQE: 53.9723, Standard: 0.9164)
  234. PubMed_10:875_spelling (AskQE: 50.3575, Standard: 0.9316)
  235. PubMed_10:875_synonym (AskQE: 50.3575, Standard: 0.9316)
  236. PubMed_10:879_alteration (AskQE: 81.0650, Standard: 0.9459)
  237. PubMed_10:879_expansion_impact (AskQE: 81.5897, Standard: 0.9383)
  238. PubMed_10:879_expansion_noimpact (AskQE: 80.3542, Standard: 0.9450)
  239. PubMed_10:879_spelling (AskQE: 65.4435, Standard: 0.4113)
  240. PubMed_10:879_synonym (AskQE: 73.5733, Standard: 0.9501)
  241. PubMed_10:880_alteration (AskQE: 59.0723, Standard: 0.8979)
  242. PubMed_10:880_expansion_impact (AskQE: 69.5554, Standard: 0.9093)
  243. PubMed_10:880_expansion_noimpact (AskQE: 83.5279, Standard: 0.9119)
  244. PubMed_10:880_spelling (AskQE: 84.0264, Standard: 0.9167)
  245. PubMed_10:880_synonym (AskQE: 84.1807, Standard: 0.9203)
  246. PubMed_10:882_alteration (AskQE: 90.2143, Standard: 0.8693)
  247. PubMed_10:882_expansion_impact (AskQE: 82.9285, Standard: 0.9242)
  248. PubMed_10:882_expansion_noimpact (AskQE: 67.2928, Standard: 0.8981)
  249. PubMed_10:882_spelling (AskQE: 100.0000, Standard: 0.9483)
  250. PubMed_10:882_synonym (AskQE: 78.1084, Standard: 0.9356)
  251. PubMed_10:883_alteration (AskQE: 23.3893, Standard: 0.8513)
  252. PubMed_10:883_expansion_impact (AskQE: 58.2364, Standard: 0.9065)
  253. PubMed_10:883_expansion_noimpact (AskQE: 65.2517, Standard: 0.9357)
  254. PubMed_10:883_spelling (AskQE: 32.2077, Standard: 0.9295)
  255. PubMed_10:883_synonym (AskQE: 39.5841, Standard: 0.9236)
  256. PubMed_10:886_alteration (AskQE: 34.2678, Standard: 0.9325)
  257. PubMed_10:886_expansion_impact (AskQE: 50.3348, Standard: 0.9041)
  258. PubMed_10:886_expansion_noimpact (AskQE: 73.6455, Standard: 0.9293)
  259. PubMed_10:886_spelling (AskQE: 71.1197, Standard: 0.9259)
  260. PubMed_10:886_synonym (AskQE: 57.1033, Standard: 0.9225)
  261. PubMed_10:887_alteration (AskQE: 55.5904, Standard: 0.8666)
  262. PubMed_10:887_expansion_impact (AskQE: 55.4410, Standard: 0.8393)
  263. PubMed_10:887_expansion_noimpact (AskQE: 54.8150, Standard: 0.8717)
  264. PubMed_10:887_spelling (AskQE: 56.3090, Standard: 0.8842)
  265. PubMed_10:887_synonym (AskQE: 56.1322, Standard: 0.8682)
  266. PubMed_10:888_alteration (AskQE: 50.5952, Standard: 0.8684)
  267. PubMed_10:888_expansion_impact (AskQE: 57.4599, Standard: 0.8849)
  268. PubMed_10:888_expansion_noimpact (AskQE: 55.8824, Standard: 0.9052)
  269. PubMed_10:888_spelling (AskQE: 54.3652, Standard: 0.3374)
  270. PubMed_10:888_synonym (AskQE: 62.2945, Standard: 0.8922)
  271. PubMed_10:889_alteration (AskQE: 67.3180, Standard: 0.9089)
  272. PubMed_10:889_expansion_impact (AskQE: 86.0013, Standard: 0.9551)
  273. PubMed_10:889_expansion_noimpact (AskQE: 91.6307, Standard: 0.9517)
  274. PubMed_10:889_spelling (AskQE: 81.1634, Standard: 0.9389)
  275. PubMed_10:889_synonym (AskQE: 80.1067, Standard: 0.9461)
  276. PubMed_10:890_alteration (AskQE: 84.9104, Standard: 0.8835)
  277. PubMed_10:890_expansion_impact (AskQE: 83.3154, Standard: 0.8932)
  278. PubMed_10:890_expansion_noimpact (AskQE: 82.1587, Standard: 0.9037)
  279. PubMed_10:890_spelling (AskQE: 88.4982, Standard: 0.9030)
  280. PubMed_10:890_synonym (AskQE: 88.4982, Standard: 0.9130)
  281. PubMed_10:892_alteration (AskQE: 68.7793, Standard: 0.8998)
  282. PubMed_10:892_expansion_impact (AskQE: 67.5420, Standard: 0.9112)
  283. PubMed_10:892_expansion_noimpact (AskQE: 67.5420, Standard: 0.9112)
  284. PubMed_10:892_spelling (AskQE: 83.5549, Standard: 0.9411)
  285. PubMed_10:892_synonym (AskQE: 72.2116, Standard: 0.9244)
  286. PubMed_10:894_alteration (AskQE: 46.7946, Standard: 0.8716)
  287. PubMed_10:894_expansion_impact (AskQE: 65.1598, Standard: 0.8971)
  288. PubMed_10:894_expansion_noimpact (AskQE: 66.9113, Standard: 0.8766)
  289. PubMed_10:894_spelling (AskQE: 66.4930, Standard: 0.9113)
  290. PubMed_10:894_synonym (AskQE: 66.3478, Standard: 0.9083)
  291. PubMed_10:899_alteration (AskQE: 70.3352, Standard: 0.9666)
  292. PubMed_10:899_expansion_impact (AskQE: 76.9818, Standard: 0.9348)
  293. PubMed_10:899_expansion_noimpact (AskQE: 88.4171, Standard: 0.9640)
  294. PubMed_10:899_spelling (AskQE: 92.7835, Standard: 0.9982)
  295. PubMed_10:899_synonym (AskQE: 82.7663, Standard: 0.9914)
  296. PubMed_10:900_alteration (AskQE: 15.7051, Standard: 0.8177)
  297. PubMed_10:900_expansion_impact (AskQE: 69.7709, Standard: 0.9009)
  298. PubMed_10:900_expansion_noimpact (AskQE: 15.7051, Standard: 0.9601)
  299. PubMed_10:900_spelling (AskQE: 15.7051, Standard: 0.9845)
  300. PubMed_10:900_synonym (AskQE: 55.2305, Standard: 0.9664)
  301. PubMed_10:901_alteration (AskQE: 56.0987, Standard: 0.8572)
  302. PubMed_10:901_expansion_impact (AskQE: 59.5497, Standard: 0.8897)
  303. PubMed_10:901_expansion_noimpact (AskQE: 59.1866, Standard: 0.8885)
  304. PubMed_10:901_spelling (AskQE: 59.1866, Standard: 0.8973)
  305. PubMed_10:901_synonym (AskQE: 50.7097, Standard: 0.8858)
  306. PubMed_10:903_alteration (AskQE: 75.5377, Standard: 0.9592)
  307. PubMed_10:903_expansion_impact (AskQE: 71.0092, Standard: 0.9321)
  308. PubMed_10:903_expansion_noimpact (AskQE: 73.8502, Standard: 0.9434)
  309. PubMed_10:903_spelling (AskQE: 72.0064, Standard: 0.9508)
  310. PubMed_10:903_synonym (AskQE: 70.0539, Standard: 0.9557)
  311. PubMed_10:905_alteration (AskQE: 9.0550, Standard: 0.7967)
  312. PubMed_10:905_expansion_impact (AskQE: 100.0000, Standard: 0.8024)
  313. PubMed_10:905_expansion_noimpact (AskQE: 91.1575, Standard: 0.8759)
  314. PubMed_10:905_spelling (AskQE: 91.1575, Standard: 0.9112)
  315. PubMed_10:905_synonym (AskQE: 91.1575, Standard: 0.8980)
  316. PubMed_10:906_alteration (AskQE: 45.4200, Standard: 0.8538)
  317. PubMed_10:906_expansion_impact (AskQE: 44.9279, Standard: 0.8205)
  318. PubMed_10:906_expansion_noimpact (AskQE: 44.1214, Standard: 0.9072)
  319. PubMed_10:906_spelling (AskQE: 44.1214, Standard: 0.9273)
  320. PubMed_10:906_synonym (AskQE: 44.1214, Standard: 0.9091)
  321. PubMed_10:907_alteration (AskQE: 35.7631, Standard: 0.9189)
  322. PubMed_10:907_expansion_impact (AskQE: 38.3390, Standard: 0.8751)
  323. PubMed_10:907_expansion_noimpact (AskQE: 100.0000, Standard: 0.9280)
  324. PubMed_10:907_spelling (AskQE: 100.0000, Standard: 0.9752)
  325. PubMed_10:907_synonym (AskQE: 100.0000, Standard: 0.9752)
  326. PubMed_10:908_alteration (AskQE: 37.6488, Standard: 0.7135)
  327. PubMed_10:908_expansion_impact (AskQE: 69.8314, Standard: 0.8088)
  328. PubMed_10:908_expansion_noimpact (AskQE: 84.7756, Standard: 0.8196)
  329. PubMed_10:908_spelling (AskQE: 53.8544, Standard: 0.5947)
  330. PubMed_10:908_synonym (AskQE: 42.9877, Standard: 0.7753)
  331. PubMed_10:909_alteration (AskQE: 53.7795, Standard: 0.7964)
  332. PubMed_10:909_expansion_impact (AskQE: 63.7744, Standard: 0.8750)
  333. PubMed_10:909_expansion_noimpact (AskQE: 81.1652, Standard: 0.9149)
  334. PubMed_10:909_spelling (AskQE: 84.2314, Standard: 0.9325)
  335. PubMed_10:909_synonym (AskQE: 92.5709, Standard: 0.9427)
  336. PubMed_10:911_alteration (AskQE: 68.9630, Standard: 0.8644)
  337. PubMed_10:911_expansion_impact (AskQE: 34.5525, Standard: 0.8283)
  338. PubMed_10:911_expansion_noimpact (AskQE: 35.7926, Standard: 0.8853)
  339. PubMed_10:911_spelling (AskQE: 44.0437, Standard: 0.8991)
  340. PubMed_10:911_synonym (AskQE: 32.7209, Standard: 0.8927)
  341. PubMed_10:913_alteration (AskQE: 75.2317, Standard: 0.9553)
