Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: bleu (pipeline: vanilla)
Standard Metric: bt_score

Results:
  Pearson correlation: 0.3728
  P-value: 6.6055e-34
  Number of samples: 987

Common keys (987):
  285. PubMed_9:846_alteration (AskQE: 24.2259, Standard: 0.8737)
  286. PubMed_9:846_synonym (AskQE: 25.1632, Standard: 0.9216)
  287. PubMed_9:847_alteration (AskQE: 12.1747, Standard: 0.9263)
  288. PubMed_9:847_synonym (AskQE: 30.7632, Standard: 0.9613)
  289. PubMed_9:849_synonym (AskQE: 100.0000, Standard: 1.0000)
  290. PubMed_9:850_alteration (AskQE: 67.2420, Standard: 0.9310)
  291. PubMed_9:850_synonym (AskQE: 64.3812, Standard: 0.9170)
  292. PubMed_9:853_synonym (AskQE: 11.3396, Standard: 0.8450)
  293. PubMed_9:854_alteration (AskQE: 50.7913, Standard: 0.8766)
  294. PubMed_9:854_synonym (AskQE: 67.6777, Standard: 0.9480)
  295. Wikinews_2:1100_alteration (AskQE: 54.3041, Standard: 0.9234)
  296. Wikinews_2:1100_synonym (AskQE: 79.1661, Standard: 0.9443)
  297. Wikinews_2:1104_alteration (AskQE: 31.7560, Standard: 0.9038)
  298. Wikinews_2:1104_synonym (AskQE: 63.0919, Standard: 0.9412)
  299. Wikinews_2:1105_alteration (AskQE: 100.0000, Standard: 0.9565)
  300. Wikinews_2:1105_synonym (AskQE: 100.0000, Standard: 0.9658)
  301. Wikinews_5:1148_alteration (AskQE: 31.8290, Standard: 0.8663)
  302. Wikinews_5:1148_synonym (AskQE: 46.4803, Standard: 0.8533)
  303. Wikinews_5:1151_alteration (AskQE: 50.3210, Standard: 0.8929)
  304. Wikinews_5:1151_synonym (AskQE: 65.7117, Standard: 0.9504)
  305. Wikipedia_handpicked_5:1860_alteration (AskQE: 28.9578, Standard: 0.8856)
  306. Wikipedia_handpicked_5:1860_synonym (AskQE: 10.0010, Standard: 0.9566)
  307. Wikipedia_handpicked_5:1861_alteration (AskQE: 80.1627, Standard: 0.8763)
  308. Wikipedia_handpicked_5:1861_synonym (AskQE: 54.6475, Standard: 0.9497)
  309. Wikipedia_handpicked_5:1864_alteration (AskQE: 43.1947, Standard: 0.9288)
  310. Wikipedia_handpicked_5:1864_synonym (AskQE: 65.0921, Standard: 0.9601)
  311. Wikipedia_handpicked_5:1865_alteration (AskQE: 66.6274, Standard: 0.9206)
  312. Wikipedia_handpicked_5:1865_synonym (AskQE: 13.7580, Standard: 0.9165)
  313. Wikipedia_handpicked_5:1866_alteration (AskQE: 20.8256, Standard: 0.8996)
  314. Wikipedia_handpicked_5:1866_synonym (AskQE: 43.9304, Standard: 0.9732)
